"MAG","P","U","V","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0.00060477,0,0,1,0,0,0.5,0
0.083976,-0.0013137,-0.0089002,0.083497,1,0.0625,0.0625,0.5,0
0.13575,-0.0030311,-0.029488,0.13249,1,0.125,0.125,0.5,0
0.16561,-0.004689,-0.05587,0.15586,1,0.1875,0.1875,0.5,0
0.18199,-0.0067676,-0.084296,0.16124,1,0.25,0.25,0.5,0
0.19029,-0.0093814,-0.11288,0.15313,1,0.3125,0.3125,0.5,0
0.19381,-0.012312,-0.14075,0.13314,1,0.375,0.375,0.5,0
0.1955,-0.015027,-0.16728,0.10107,1,0.4375,0.4375,0.5,0
0.1995,-0.016696,-0.19143,0.05617,1,0.5,0.5,0.5,0
0.21105,-0.016271,-0.21093,-0.0016922,1,0.5625,0.5625,0.5,0
0.23281,-0.012869,-0.22193,-0.069752,1,0.625,0.625,0.5,0
0.26005,-0.0063168,-0.21857,-0.14055,1,0.6875,0.6875,0.5,0
0.27852,0.0021335,-0.19432,-0.19932,1,0.75,0.75,0.5,0
0.26797,0.0095079,-0.14627,-0.2244,1,0.8125,0.8125,0.5,0
0.21249,0.012309,-0.08242,-0.19578,1,0.875,0.875,0.5,0
0.11487,0.0091655,-0.024973,-0.11209,1,0.9375,0.9375,0.5,0
0,0.0039545,0,0,1,1,1,0.5,0
